origin_zone,total,Hour0,hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23
374,62,0,0,0,0,0,0,0,7,6,5,1,3,8,0,4,6,6,3,6,4,1,1,1,0
375,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
376,25,0,0,0,0,1,0,3,1,1,2,1,4,2,1,1,0,0,2,2,2,0,1,1,0
377,39,0,0,0,0,0,1,2,4,8,4,3,2,1,0,0,4,3,4,1,0,0,2,0,0
378,39,0,0,0,0,0,1,5,4,2,2,2,4,3,1,3,2,3,2,0,1,3,0,1,0
379,50,0,0,0,0,0,1,3,1,7,5,3,4,5,5,3,1,5,2,4,1,0,0,0,0
380,74,0,0,0,0,0,2,4,5,7,7,6,4,4,7,4,1,2,5,3,4,3,4,1,1
381,46,0,0,0,0,0,0,1,5,5,1,5,1,3,1,4,9,3,4,2,1,1,0,0,0
382,125,0,0,0,0,1,7,10,10,8,5,9,4,7,4,9,10,9,10,8,5,5,2,2,0
384,12,0,0,0,0,0,1,0,1,0,1,1,2,0,2,3,1,0,0,0,0,0,0,0,0
385,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
386,37,0,0,0,0,0,1,1,2,1,1,5,3,2,1,5,2,4,2,3,2,2,0,0,0
387,15,0,0,0,0,0,0,0,1,0,0,1,1,2,2,1,1,0,2,1,2,1,0,0,0
388,155,0,0,0,0,1,2,9,12,13,10,11,4,19,15,13,11,4,4,8,6,7,6,0,0
389,9,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,1,1,0,0,0,0,1,0,1
390,19,0,0,0,0,1,1,1,1,2,1,0,0,3,0,3,0,1,1,1,1,0,0,1,1
391,58,0,0,0,0,0,4,5,4,4,9,3,0,0,1,4,3,1,5,3,4,5,1,2,0
392,16,0,0,0,0,0,0,0,1,1,1,2,0,2,0,1,3,1,3,0,0,1,0,0,0
393,29,0,0,0,0,1,0,3,1,3,1,0,1,1,1,0,0,2,3,6,5,1,0,0,0
394,44,0,0,0,0,0,0,3,6,0,1,2,3,2,4,4,0,4,8,3,0,1,2,1,0
395,7,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,2,0
396,6,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
397,13,0,0,0,0,0,3,0,1,1,2,0,0,1,0,0,1,0,1,1,1,0,0,1,0
398,11,0,0,0,0,0,0,0,1,2,0,0,0,1,1,2,1,0,1,1,0,1,0,0,0
399,14,0,0,0,0,0,0,1,0,0,0,0,1,1,3,1,1,1,3,2,0,0,0,0,0
400,9,0,0,0,0,0,0,1,2,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0
401,20,0,0,0,0,0,1,0,1,0,3,1,0,1,1,1,1,1,5,1,0,0,3,0,0
402,9,0,0,0,0,0,0,1,1,2,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0
403,10,0,0,0,0,1,0,0,1,2,0,1,1,1,0,0,0,0,0,2,1,0,0,0,0
404,14,0,0,0,0,1,0,0,3,1,0,1,0,0,0,0,2,2,1,0,2,1,0,0,0
405,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406,32,0,0,0,0,1,0,3,1,1,3,1,2,2,3,1,2,3,3,1,1,2,1,1,0
407,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
408,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409,12,0,0,0,0,0,0,4,2,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0
410,66,0,0,0,0,2,1,14,4,6,3,2,7,3,2,7,1,3,1,2,3,3,1,1,0
411,38,0,0,0,0,0,1,4,6,1,1,2,2,2,2,5,1,1,2,3,3,1,0,1,0
412,19,0,0,0,0,0,0,5,1,3,3,1,2,1,0,0,0,2,0,0,1,0,0,0,0
413,148,0,0,0,0,1,5,15,18,12,10,4,13,10,5,12,11,12,3,5,4,4,1,3,0
414,42,0,0,0,0,2,2,5,6,1,3,1,0,2,2,2,2,4,2,3,2,2,1,0,0
415,12,0,0,0,0,0,1,0,3,1,0,0,0,0,2,0,0,1,0,1,1,1,0,1,0
416,44,0,0,0,0,0,1,5,5,5,1,2,2,2,2,2,3,4,5,2,0,1,1,1,0
417,7,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0
418,17,0,0,0,0,0,1,2,2,2,1,0,2,1,1,0,0,0,2,1,1,1,0,0,0
419,12,0,0,0,0,1,0,4,0,0,0,0,1,1,0,0,0,0,1,2,2,0,0,0,0
420,45,0,0,0,0,0,2,7,4,6,2,1,1,3,2,3,0,1,2,3,3,1,3,1,0
