origin_zone,total,shour0,shour1,shour2,shour3,shour4,shour5,shour6,shour7,shour8,shour9,shour10,shour11,shour12,shour13,shour14,shour15,shour16,shour17,shour18,shour19,shour20,shour21,shour22,shour23,destination_zone,total1,dhour0,dhour1,dhour2,dhour3,dhour4,dhour5,dhour6,dhour7,dhour8,dhour9,dhour10,dhour11,dhour12,dhour13,dhour14,dhour15,dhour16,dhour17,dhour18,dhour19,dhour20,dhour21,dhour22,dhour23
141,182,0,0,0,0,0,5,13,14,16,20,10,6,7,12,8,11,9,13,11,6,13,6,1,1,141,189,0,1,0,0,0,0,3,5,6,5,11,7,4,9,11,20,16,14,28,13,11,13,7,4
142,106,0,0,0,0,0,2,12,14,8,8,6,8,7,5,12,3,3,7,4,4,1,1,0,1,142,109,0,0,0,0,0,1,2,6,7,4,3,5,10,8,4,10,8,6,14,10,2,5,1,1
143,246,2,0,1,0,0,2,4,12,12,10,17,7,16,12,20,23,21,30,13,16,9,12,7,0,143,228,0,1,0,0,0,0,6,11,11,22,16,13,17,28,12,17,18,14,15,10,7,3,3,4
144,140,0,1,0,0,1,4,9,9,14,5,8,8,8,8,6,13,5,12,8,7,8,2,3,1,144,147,0,0,0,1,0,1,0,8,6,8,6,6,11,9,9,16,11,6,17,14,10,1,5,1
145,164,2,0,0,0,1,5,11,18,22,10,12,8,4,6,16,9,11,11,5,5,4,0,4,0,145,168,0,2,1,0,0,2,5,2,8,5,6,8,10,12,12,11,13,14,21,13,5,8,8,1
146,47,0,0,0,0,0,1,1,6,2,5,3,1,3,3,3,4,5,2,1,3,1,2,1,0,146,52,0,0,0,0,0,0,0,0,3,5,3,4,3,3,4,9,2,8,3,0,2,2,1,0
147,151,0,1,0,0,0,1,2,4,10,4,6,7,11,13,12,14,14,17,14,14,3,4,0,0,147,161,0,1,0,0,0,1,1,4,10,10,11,5,14,14,17,9,12,13,13,11,5,5,3,1
148,236,2,0,0,0,0,3,8,14,15,3,14,12,23,17,14,21,25,26,12,8,7,8,1,3,148,226,0,1,0,0,0,1,3,8,7,15,12,16,17,14,16,23,15,20,20,12,7,8,5,5
149,92,0,0,0,0,1,3,3,5,5,2,6,2,5,7,9,3,3,10,8,7,5,6,2,0,149,99,0,2,0,0,0,0,1,2,3,10,8,6,6,3,8,5,6,8,9,14,2,4,2,0
150,156,1,1,0,0,2,3,10,8,9,10,16,9,12,8,7,7,6,15,11,5,5,3,7,1,150,153,0,0,0,0,0,2,2,5,9,8,17,7,14,8,8,11,14,12,10,11,4,6,3,1
151,41,0,0,0,0,1,1,6,3,2,4,3,1,0,1,2,5,2,1,1,3,2,0,3,0,151,50,0,0,0,0,0,0,0,4,3,9,2,3,0,0,4,5,6,2,4,2,3,2,1,0
152,13,0,0,0,0,0,0,2,2,2,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,152,14,0,0,1,0,0,0,1,0,0,2,3,2,0,1,0,1,0,0,0,0,0,1,0,2
153,49,0,0,0,0,1,3,4,5,4,2,6,4,0,4,2,2,2,6,2,1,1,0,0,0,153,43,0,0,0,0,0,0,1,1,2,1,3,1,3,1,7,5,4,4,4,2,3,0,1,0
154,262,1,0,0,0,3,6,13,29,13,14,18,12,11,13,22,22,18,17,14,17,9,7,3,0,154,271,0,1,0,0,0,2,4,9,20,12,11,9,17,12,15,19,20,24,29,20,21,14,9,2
155,62,1,0,0,0,1,3,1,0,6,1,3,3,4,3,4,3,8,7,5,4,3,1,1,0,155,60,0,1,0,0,0,2,1,1,3,2,5,8,1,7,4,1,4,6,3,5,1,3,2,0
156,62,0,0,0,0,0,1,8,4,1,3,4,5,3,4,6,3,2,7,6,3,1,0,1,0,156,71,0,1,0,0,0,0,1,3,3,5,2,4,4,3,6,5,6,7,7,4,6,1,1,1
